Date,County,Precip
2019-09,Calaveras,0.77
2019-10,Calaveras,0.01
2019-11,Calaveras,2.01
2019-12,Calaveras,8.41
2020-01,Calaveras,2.11
2020-02,Calaveras,0.03
2020-03,Calaveras,6.77
2020-04,Calaveras,2.97
2020-05,Calaveras,1.94
2020-06,Calaveras,0.07
2020-07,Calaveras,0.01
2020-08,Calaveras,0.02
2020-09,Calaveras,0.08
2020-10,Calaveras,0.01
2020-11,Calaveras,2.14
2020-12,Calaveras,2.79
2021-01,Calaveras,7.38
2021-02,Calaveras,2.42
2021-03,Calaveras,3.25
2021-04,Calaveras,0.24
2021-05,Calaveras,0.16
2021-06,Calaveras,0.08
2021-07,Calaveras,0.03
2021-08,Calaveras,0.01
2021-09,Calaveras,0.07
2021-10,Calaveras,5.06
2013-01,Colusa,1.54
2013-02,Colusa,0.82
2013-03,Colusa,1.51
2013-04,Colusa,0.82
2013-05,Colusa,0.52
2013-06,Colusa,0.45
2013-07,Colusa,0.01
2013-08,Colusa,0.0
2013-09,Colusa,1.04
2013-10,Colusa,0.01
2013-11,Colusa,1.09
2013-12,Colusa,0.41
2014-01,Colusa,0.59
2014-02,Colusa,6.19
2014-03,Colusa,3.51
2014-04,Colusa,1.34
2014-05,Colusa,0.15
2014-06,Colusa,0.01
2014-07,Colusa,0.0
2014-08,Colusa,0.08
2014-09,Colusa,0.82
2014-10,Colusa,0.68
2014-11,Colusa,3.0
2014-12,Colusa,12.3
2015-01,Colusa,0.18
2015-02,Colusa,3.66
2015-03,Colusa,0.54
2015-04,Colusa,1.78
2015-05,Colusa,0.08
2015-06,Colusa,0.02
2015-07,Colusa,0.12
2015-08,Colusa,0.06
2015-09,Colusa,0.1
2015-10,Colusa,0.07
2015-11,Colusa,2.16
2015-12,Colusa,3.15
2016-01,Colusa,6.5
2016-02,Colusa,0.83
2016-03,Colusa,6.61
2016-04,Colusa,0.79
2016-05,Colusa,0.8
2016-06,Colusa,0.13
2016-07,Colusa,0.0
2016-08,Colusa,0.0
2016-09,Colusa,0.0
2016-10,Colusa,2.73
2016-11,Colusa,3.12
2016-12,Colusa,3.98
2017-01,Colusa,10.07
2017-02,Colusa,8.79
2017-03,Colusa,2.32
2017-04,Colusa,2.48
2017-05,Colusa,0.07
2017-06,Colusa,0.63
2017-07,Colusa,0.0
2017-08,Colusa,0.0
2017-09,Colusa,0.03
2017-10,Colusa,0.24
2017-11,Colusa,2.77
2017-12,Colusa,0.04
2018-01,Colusa,3.94
2018-02,Colusa,0.19
2018-03,Colusa,3.72
2018-04,Colusa,2.82
2018-05,Colusa,0.16
2018-06,Colusa,0.0
2018-07,Colusa,0.0
2018-08,Colusa,0.0
2018-09,Colusa,0.02
2018-10,Colusa,0.68
2018-11,Colusa,3.61
2018-12,Colusa,2.94
2019-01,Colusa,6.09
2019-02,Colusa,11.1
2019-03,Colusa,4.62
2019-04,Colusa,0.43
2019-05,Colusa,2.57
2019-06,Colusa,0.0
2019-07,Colusa,0.0
2019-08,Colusa,0.03
2019-09,Colusa,0.18
2019-10,Colusa,0.01
2019-11,Colusa,0.82
2019-12,Colusa,7.04
2020-01,Colusa,1.6
2020-02,Colusa,0.0
2020-03,Colusa,0.88
2020-04,Colusa,0.77
2020-05,Colusa,1.16
2020-06,Colusa,0.02
2020-07,Colusa,0.0
2020-08,Colusa,0.05
2020-09,Colusa,0.0
2020-10,Colusa,0.0
2020-11,Colusa,0.6
2020-12,Colusa,1.8
2021-01,Colusa,2.93
2021-02,Colusa,0.95
2021-03,Colusa,1.52
2021-04,Colusa,0.15
2021-05,Colusa,0.0
2021-06,Colusa,0.01
2021-07,Colusa,0.0
2021-08,Colusa,0.0
2021-09,Colusa,0.08
2021-10,Colusa,5.49
2013-01,Contra Costa,0.79
2013-02,Contra Costa,0.4
2013-03,Contra Costa,0.6
2013-04,Contra Costa,0.78
2013-05,Contra Costa,0.07
2013-06,Contra Costa,0.2
2013-07,Contra Costa,0.0
2013-08,Contra Costa,0.01
2013-09,Contra Costa,0.63
2013-10,Contra Costa,0.0
2013-11,Contra Costa,1.33
2013-12,Contra Costa,0.46
2014-01,Contra Costa,0.14
2014-02,Contra Costa,4.68
2014-03,Contra Costa,2.12
2014-04,Contra Costa,1.72
2014-05,Contra Costa,0.02
2014-06,Contra Costa,0.01
2014-07,Contra Costa,0.01
2014-08,Contra Costa,0.03
2014-09,Contra Costa,0.37
2014-10,Contra Costa,0.47
2014-11,Contra Costa,1.58
2014-12,Contra Costa,9.92
2015-01,Contra Costa,0.01
2015-02,Contra Costa,2.34
2015-03,Contra Costa,0.26
2015-04,Contra Costa,1.09
2015-05,Contra Costa,0.2
2015-06,Contra Costa,0.27
2015-07,Contra Costa,0.02
2015-08,Contra Costa,0.01
2015-09,Contra Costa,0.04
2015-10,Contra Costa,0.07
2015-11,Contra Costa,1.86
2015-12,Contra Costa,3.11
2016-01,Contra Costa,6.44
2016-02,Contra Costa,0.8
2016-03,Contra Costa,5.64
2016-04,Contra Costa,1.65
2016-05,Contra Costa,0.22
2016-06,Contra Costa,0.0
2016-07,Contra Costa,0.0
2016-08,Contra Costa,0.0
2016-09,Contra Costa,0.0
2016-10,Contra Costa,3.05
2016-11,Contra Costa,1.39
2016-12,Contra Costa,3.36
2017-01,Contra Costa,10.68
2017-02,Contra Costa,7.61
2017-03,Contra Costa,2.73
2017-04,Contra Costa,2.57
2017-05,Contra Costa,0.03
2017-06,Contra Costa,0.08
2017-07,Contra Costa,0.0
2017-08,Contra Costa,0.01
2017-09,Contra Costa,0.03
2017-10,Contra Costa,0.25
2017-11,Contra Costa,2.73
2017-12,Contra Costa,0.12
2018-01,Contra Costa,4.02
2018-02,Contra Costa,0.6
2018-03,Contra Costa,4.97
2018-04,Contra Costa,2.39
2018-05,Contra Costa,0.03
2018-06,Contra Costa,0.0
2018-07,Contra Costa,0.0
2018-08,Contra Costa,0.0
2018-09,Contra Costa,0.0
2018-10,Contra Costa,0.22
2018-11,Contra Costa,3.09
2018-12,Contra Costa,2.2
2019-01,Contra Costa,4.66
2019-02,Contra Costa,7.21
2019-03,Contra Costa,3.98
2019-04,Contra Costa,0.39
2019-05,Contra Costa,1.93
2019-06,Contra Costa,0.0
2019-07,Contra Costa,0.0
2019-08,Contra Costa,0.0
2019-09,Contra Costa,0.15
2019-10,Contra Costa,0.0
2019-11,Contra Costa,0.9
2019-12,Contra Costa,4.07
2020-01,Contra Costa,1.54
2020-02,Contra Costa,0.0
2020-03,Contra Costa,1.91
2020-04,Contra Costa,1.18
2020-05,Contra Costa,0.53
2020-06,Contra Costa,0.0
2020-07,Contra Costa,0.0
2020-08,Contra Costa,0.09
2020-09,Contra Costa,0.0
2020-10,Contra Costa,0.0
2020-11,Contra Costa,0.44
2020-12,Contra Costa,1.54
2021-01,Contra Costa,2.53
2021-02,Contra Costa,0.94
2021-03,Contra Costa,1.12
2021-04,Contra Costa,0.06
2021-05,Contra Costa,0.01
2021-06,Contra Costa,0.0
2021-07,Contra Costa,0.0
2021-08,Contra Costa,0.0
2021-09,Contra Costa,0.01
2021-10,Contra Costa,4.95
2013-01,Del Norte,5.16
2013-02,Del Norte,3.62
2013-03,Del Norte,5.82
2013-04,Del Norte,4.01
2013-05,Del Norte,3.38
2013-06,Del Norte,1.33
2013-07,Del Norte,0.02
2013-08,Del Norte,0.54
2013-09,Del Norte,5.87
2013-10,Del Norte,0.11
2013-11,Del Norte,3.34
2013-12,Del Norte,1.8
2014-01,Del Norte,3.11
2014-02,Del Norte,11.58
2014-03,Del Norte,13.72
2014-04,Del Norte,2.91
2014-05,Del Norte,2.14
2014-06,Del Norte,0.95
2014-07,Del Norte,0.12
2014-08,Del Norte,0.15
2014-09,Del Norte,3.74
2014-10,Del Norte,8.17
2014-11,Del Norte,6.68
2014-12,Del Norte,13.89
2015-01,Del Norte,3.49
2015-02,Del Norte,11.17
2015-03,Del Norte,5.65
2015-04,Del Norte,4.36
2015-05,Del Norte,0.68
2015-06,Del Norte,0.45
2015-07,Del Norte,0.64
2015-08,Del Norte,0.86
2015-09,Del Norte,1.05
2015-10,Del Norte,2.04
2015-11,Del Norte,8.15
2015-12,Del Norte,30.81
2016-01,Del Norte,19.64
2016-02,Del Norte,5.76
2016-03,Del Norte,13.98
2016-04,Del Norte,4.37
2016-05,Del Norte,1.34
2016-06,Del Norte,0.61
2016-07,Del Norte,0.71
2016-08,Del Norte,0.0
2016-09,Del Norte,0.06
2016-10,Del Norte,22.7
2016-11,Del Norte,11.84
2016-12,Del Norte,16.58
2017-01,Del Norte,19.87
2017-02,Del Norte,22.11
2017-03,Del Norte,13.67
2017-04,Del Norte,11.46
2017-05,Del Norte,2.31
2017-06,Del Norte,1.64
2017-07,Del Norte,0.0
2017-08,Del Norte,0.1
2017-09,Del Norte,1.42
2017-10,Del Norte,2.75
2017-11,Del Norte,13.35
2017-12,Del Norte,3.88
2018-01,Del Norte,13.33
2018-02,Del Norte,2.9
2018-03,Del Norte,13.42
2018-04,Del Norte,7.41
2018-05,Del Norte,0.72
2018-06,Del Norte,1.34
2018-07,Del Norte,0.01
2018-08,Del Norte,0.0
2018-09,Del Norte,0.24
2018-10,Del Norte,1.85
2018-11,Del Norte,5.15
2018-12,Del Norte,8.09
2019-01,Del Norte,13.57
2019-02,Del Norte,21.02
2019-03,Del Norte,4.78
2019-04,Del Norte,10.27
2019-05,Del Norte,4.92
2019-06,Del Norte,0.01
2019-07,Del Norte,0.02
2019-08,Del Norte,0.93
2019-09,Del Norte,4.1
2019-10,Del Norte,2.81
2019-11,Del Norte,2.89
2019-12,Del Norte,14.33
2020-01,Del Norte,18.37
2020-02,Del Norte,1.86
2020-03,Del Norte,3.96
2020-04,Del Norte,2.9
2020-05,Del Norte,7.3
2020-06,Del Norte,1.0
2020-07,Del Norte,0.01
2020-08,Del Norte,0.03
2020-09,Del Norte,0.75
2020-10,Del Norte,1.37
2020-11,Del Norte,7.91
2020-12,Del Norte,10.5
2021-01,Del Norte,19.39
2021-02,Del Norte,9.94
2021-03,Del Norte,7.02
2021-04,Del Norte,1.25
2021-05,Del Norte,0.68
2021-06,Del Norte,2.71
2021-07,Del Norte,0.24
2021-08,Del Norte,0.07
2021-09,Del Norte,3.97
2021-10,Del Norte,9.4
2013-01,El Dorado,1.44
2013-02,El Dorado,0.8
2013-03,El Dorado,3.2
2013-04,El Dorado,1.85
2013-05,El Dorado,1.99
2013-06,El Dorado,1.21
2013-07,El Dorado,0.07
2013-08,El Dorado,0.15
2013-09,El Dorado,1.72
2013-10,El Dorado,0.77
2013-11,El Dorado,1.61
2013-12,El Dorado,1.25
2014-01,El Dorado,2.44
2014-02,El Dorado,11.43
2014-03,El Dorado,6.15
2014-04,El Dorado,2.63
2014-05,El Dorado,1.16
2014-06,El Dorado,0.02
2014-07,El Dorado,0.35
2014-08,El Dorado,0.32
2014-09,El Dorado,1.53
2014-10,El Dorado,1.09
2014-11,El Dorado,3.81
2014-12,El Dorado,8.98
2015-01,El Dorado,0.12
2015-02,El Dorado,6.96
2015-03,El Dorado,0.87
2015-04,El Dorado,3.41
2015-05,El Dorado,1.96
2015-06,El Dorado,0.85
2015-07,El Dorado,0.43
2015-08,El Dorado,0.05
2015-09,El Dorado,0.11
2015-10,El Dorado,2.07
2015-11,El Dorado,5.25
2015-12,El Dorado,10.41
2016-01,El Dorado,11.92
2016-02,El Dorado,2.18
2016-03,El Dorado,10.64
2016-04,El Dorado,3.9
2016-05,El Dorado,1.8
2016-06,El Dorado,0.03
2016-07,El Dorado,0.0
2016-08,El Dorado,0.05
2016-09,El Dorado,0.09
2016-10,El Dorado,10.29
2016-11,El Dorado,4.01
2016-12,El Dorado,8.23
2017-01,El Dorado,24.56
2017-02,El Dorado,20.83
2017-03,El Dorado,5.6
2017-04,El Dorado,7.45
2017-05,El Dorado,1.08
2017-06,El Dorado,0.56
2017-07,El Dorado,0.01
2017-08,El Dorado,0.2
2017-09,El Dorado,0.95
2017-10,El Dorado,0.78
2017-11,El Dorado,10.63
2017-12,El Dorado,0.87
2018-01,El Dorado,6.61
2018-02,El Dorado,1.31
2018-03,El Dorado,15.07
2018-04,El Dorado,4.76
2018-05,El Dorado,1.68
2018-06,El Dorado,0.02
2018-07,El Dorado,0.11
2018-08,El Dorado,0.02
2018-09,El Dorado,0.02
2018-10,El Dorado,0.91
2018-11,El Dorado,5.81
2018-12,El Dorado,3.97
2019-01,El Dorado,10.66
2019-02,El Dorado,19.5
2019-03,El Dorado,8.34
2019-04,El Dorado,2.81
2019-05,El Dorado,5.76
2019-06,El Dorado,0.18
2019-07,El Dorado,0.03
2019-08,El Dorado,0.01
2019-09,El Dorado,1.61
2019-10,El Dorado,0.1
2019-11,El Dorado,2.34
2019-12,El Dorado,9.18
2020-01,El Dorado,3.5
2020-02,El Dorado,0.11
2020-03,El Dorado,7.53
2020-04,El Dorado,3.9
2020-05,El Dorado,2.58
2020-06,El Dorado,0.27
2020-07,El Dorado,0.05
2020-08,El Dorado,0.06
2020-09,El Dorado,0.03
2020-10,El Dorado,0.02
2020-11,El Dorado,3.89
2020-12,El Dorado,3.96
2021-01,El Dorado,6.35
2021-02,El Dorado,3.39
2021-03,El Dorado,3.56
2021-04,El Dorado,0.66
2021-05,El Dorado,0.43
2021-06,El Dorado,0.08
2021-07,El Dorado,0.1
2021-08,El Dorado,0.02
2021-09,El Dorado,0.44
2021-10,El Dorado,11.84
2013-01,Fresno,1.07
2013-02,Fresno,0.76
2013-03,Fresno,0.86
2013-04,Fresno,0.42
2013-05,Fresno,0.34
2013-06,Fresno,0.03
2013-07,Fresno,0.21
2013-08,Fresno,0.18
2013-09,Fresno,0.16
2013-10,Fresno,0.38
2013-11,Fresno,0.37
2013-12,Fresno,0.51
2014-01,Fresno,0.58
2014-02,Fresno,2.62
2014-03,Fresno,1.76
2014-04,Fresno,1.51
2014-05,Fresno,0.3
2014-06,Fresno,0.01
2014-07,Fresno,0.26
2014-08,Fresno,0.19
2014-09,Fresno,0.32
2014-10,Fresno,0.12
